platform,post_type,post_time,post_day,hour,time_of_day,sentiment_score,likes,comments,shares,engagement_score,virality_index
Facebook,image,2023-08-17 14:45:00,Thursday,14,Afternoon,positive,2121,474,628,3223,1045.1
Facebook,carousel,2023-05-14 00:45:00,Sunday,0,Night,neutral,3660,432,694,4786,1531.4
Instagram,poll,2023-02-21 16:15:00,Tuesday,16,Afternoon,negative,4955,408,688,6051,1912.1
Twitter,image,2023-11-16 00:45:00,Thursday,0,Night,negative,1183,90,187,1460,466.4
Twitter,video,2023-05-23 00:30:00,Tuesday,0,Night,positive,3499,247,286,4032,1242.1
Instagram,carousel,2023-05-05 20:00:00,Friday,20,Evening,neutral,256,186,211,653,219.5
Instagram,image,2023-02-26 11:45:00,Sunday,11,Morning,positive,1982,30,906,2918,1053.6
Instagram,text,2023-10-28 19:30:00,Saturday,19,Evening,neutral,1274,45,216,1535,499.2
Facebook,video,2023-05-02 06:15:00,Tuesday,6,Morning,neutral,317,249,221,787,255.4
Twitter,carousel,2023-05-11 11:00:00,Thursday,11,Morning,neutral,1878,225,438,2541,827.4
Twitter,text,2023-12-08 02:15:00,Friday,2,Night,negative,1446,44,52,1542,468.6
Twitter,video,2023-06-15 03:15:00,Thursday,3,Night,positive,304,42,89,435,144.1
Facebook,carousel,2023-11-11 15:45:00,Saturday,15,Afternoon,negative,45,78,375,498,216.6
Twitter,text,2023-09-30 10:30:00,Saturday,10,Morning,positive,1333,144,123,1600,490.2
Facebook,carousel,2023-01-09 20:00:00,Monday,20,Evening,positive,889,314,262,1465,460.5
Twitter,image,2023-02-10 13:00:00,Friday,13,Afternoon,neutral,2348,154,18,2520,744.2
Instagram,poll,2023-07-05 05:15:00,Wednesday,5,Morning,positive,2872,10,736,3618,1231.6
Twitter,text,2023-07-23 05:45:00,Sunday,5,Morning,neutral,512,123,338,973,347.2
Twitter,text,2023-11-20 02:00:00,Monday,2,Night,positive,2013,122,183,2318,719.8
Facebook,image,2023-02-02 16:00:00,Thursday,16,Afternoon,positive,455,86,79,620,193.2
Twitter,poll,2023-05-02 06:15:00,Tuesday,6,Morning,neutral,559,136,55,750,222.4
Twitter,carousel,2023-01-30 13:30:00,Monday,13,Afternoon,positive,1961,44,439,2444,816.6
Twitter,text,2023-10-02 12:15:00,Monday,12,Afternoon,positive,332,109,348,789,295.4
Instagram,carousel,2023-01-01 20:00:00,Sunday,20,Evening,positive,5000,80,399,5479,1715.5
Twitter,poll,2023-05-17 00:15:00,Wednesday,0,Night,positive,898,130,480,1508,535.4
Facebook,carousel,2023-10-05 06:30:00,Thursday,6,Morning,negative,1992,70,515,2577,869.1
Instagram,text,2023-10-06 10:00:00,Friday,10,Morning,positive,3161,162,137,3460,1049.2
Facebook,poll,2023-03-01 08:00:00,Wednesday,8,Morning,neutral,2083,500,388,2971,918.9
Facebook,image,2023-01-07 10:30:00,Saturday,10,Morning,negative,548,153,731,1432,560.5
Facebook,carousel,2023-02-03 00:30:00,Friday,0,Night,positive,4594,216,739,5549,1790.9
Facebook,poll,2023-09-10 13:45:00,Sunday,13,Afternoon,negative,4795,449,978,6222,2017.3
Instagram,image,2023-07-01 14:45:00,Saturday,14,Afternoon,positive,4665,202,183,5050,1531.4
Twitter,video,2023-09-27 19:00:00,Wednesday,19,Evening,positive,119,147,240,506,185.1
Twitter,poll,2023-02-09 15:30:00,Thursday,15,Afternoon,positive,2253,162,28,2443,722.3
Instagram,image,2023-06-06 19:30:00,Tuesday,19,Evening,negative,1309,201,852,2362,858.9
